Driver,TotalLaps,AvgLapTime,Overtakes,FinalPosition,Weather,Race,Season
ALB,57,91.307754385,7,11.0,Not Rainy,Abu Dhabi,2024
ALO,58,90.959724137,7,9.0,Not Rainy,Abu Dhabi,2024
BOT,30,94.909333333,1,18.0,Not Rainy,Abu Dhabi,2024
COL,26,95.016538461,0,19.0,Not Rainy,Abu Dhabi,2024
DOO,57,91.576245614,7,15.0,Not Rainy,Abu Dhabi,2024
GAS,58,90.790534482,5,7.0,Not Rainy,Abu Dhabi,2024
HAM,58,90.168517241,10,4.0,Not Rainy,Abu Dhabi,2024
HUL,58,90.842155172,5,8.0,Not Rainy,Abu Dhabi,2024
LAW,56,92.308163636,6,17.0,Not Rainy,Abu Dhabi,2024
LEC,58,90.089982758,9,3.0,Not Rainy,Abu Dhabi,2024
MAG,57,92.471719298,2,16.0,Not Rainy,Abu Dhabi,2024
NOR,58,89.5395,0,1.0,Not Rainy,Abu Dhabi,2024
PER,1,,0,20.0,Not Rainy,Abu Dhabi,2024
PIA,58,90.984689655,13,10.0,Not Rainy,Abu Dhabi,2024
RUS,58,90.186706896,3,5.0,Not Rainy,Abu Dhabi,2024
SAI,58,89.640051724,0,2.0,Not Rainy,Abu Dhabi,2024
STR,57,91.346736842,6,14.0,Not Rainy,Abu Dhabi,2024
TSU,57,91.368929824,11,12.0,Not Rainy,Abu Dhabi,2024
VER,58,90.398931034,13,6.0,Not Rainy,Abu Dhabi,2024
ZHO,57,91.413947368,8,13.0,Not Rainy,Abu Dhabi,2024
