Driver,LapNumber,LapTime,LapTimeSeconds,Race,Season
VER,1.0,0 days 00:01:39.510000,99.51,Abu Dhabi,2024
VER,2.0,0 days 00:01:54.938000,114.938,Abu Dhabi,2024
VER,3.0,0 days 00:01:38.051000,98.051,Abu Dhabi,2024
VER,4.0,0 days 00:01:29.504000,89.504,Abu Dhabi,2024
VER,5.0,0 days 00:01:29.813000,89.813,Abu Dhabi,2024
VER,6.0,0 days 00:01:29.412000,89.412,Abu Dhabi,2024
VER,7.0,0 days 00:01:29.885000,89.885,Abu Dhabi,2024
VER,8.0,0 days 00:01:29.824000,89.824,Abu Dhabi,2024
VER,9.0,0 days 00:01:29.445000,89.445,Abu Dhabi,2024
VER,10.0,0 days 00:01:30.449000,90.449,Abu Dhabi,2024
VER,11.0,0 days 00:01:30.395000,90.395,Abu Dhabi,2024
VER,12.0,0 days 00:01:30.164000,90.164,Abu Dhabi,2024
VER,13.0,0 days 00:01:30.178000,90.178,Abu Dhabi,2024
VER,14.0,0 days 00:01:30.128000,90.128,Abu Dhabi,2024
VER,15.0,0 days 00:01:29.876000,89.876,Abu Dhabi,2024
VER,16.0,0 days 00:01:30.047000,90.047,Abu Dhabi,2024
VER,17.0,0 days 00:01:29.909000,89.909,Abu Dhabi,2024
VER,18.0,0 days 00:01:29.826000,89.826,Abu Dhabi,2024
VER,19.0,0 days 00:01:30.076000,90.076,Abu Dhabi,2024
VER,20.0,0 days 00:01:30.004000,90.004,Abu Dhabi,2024
VER,21.0,0 days 00:01:29.695000,89.695,Abu Dhabi,2024
VER,22.0,0 days 00:01:29.889000,89.889,Abu Dhabi,2024
VER,23.0,0 days 00:01:29.939000,89.939,Abu Dhabi,2024
VER,24.0,0 days 00:01:29.750000,89.75,Abu Dhabi,2024
VER,25.0,0 days 00:01:29.852000,89.852,Abu Dhabi,2024
VER,26.0,0 days 00:01:30.268000,90.268,Abu Dhabi,2024
VER,27.0,0 days 00:01:29.897000,89.897,Abu Dhabi,2024
VER,28.0,0 days 00:01:30.274000,90.274,Abu Dhabi,2024
VER,29.0,0 days 00:01:31.857000,91.857,Abu Dhabi,2024
VER,30.0,0 days 00:01:59.495000,119.495,Abu Dhabi,2024
VER,31.0,0 days 00:01:28.088000,88.088,Abu Dhabi,2024
VER,32.0,0 days 00:01:28.528000,88.528,Abu Dhabi,2024
