Driver,TotalLaps,AvgLapTime,Overtakes,FinalPosition,Weather,Race,Season
ALO,69,89.482089552,4,14.0,Rainy,Brazil,2024
BEA,69,89.372194029,11,12.0,Rainy,Brazil,2024
BOT,69,89.533074626,6,13.0,Rainy,Brazil,2024
COL,30,90.275366666,1,17.0,Rainy,Brazil,2024
GAS,69,88.442597014,4,3.0,Rainy,Brazil,2024
HAM,69,89.130164179,7,10.0,Rainy,Brazil,2024
HUL,30,88.307925925,4,20.0,Rainy,Brazil,2024
LAW,69,89.129910447,4,9.0,Rainy,Brazil,2024
LEC,69,88.651791044,6,5.0,Rainy,Brazil,2024
NOR,69,88.599283582,2,6.0,Rainy,Brazil,2024
OCO,69,88.326164179,2,2.0,Rainy,Brazil,2024
PER,69,89.382447761,7,11.0,Rainy,Brazil,2024
PIA,69,88.761955223,4,8.0,Rainy,Brazil,2024
RUS,69,88.507522388,2,4.0,Rainy,Brazil,2024
SAI,39,90.714388888,5,16.0,Rainy,Brazil,2024
STR,1,,0,19.0,Rainy,Brazil,2024
TSU,69,88.801492537,0,7.0,Rainy,Brazil,2024
VER,69,88.05061194,9,1.0,Rainy,Brazil,2024
ZHO,69,90.416363636,5,15.0,Rainy,Brazil,2024
