Driver,LapNumber,LapTime,LapTimeSeconds,Race,Season
VER,1.0,0 days 00:01:39.161000,99.161,Brazil,2024
VER,2.0,0 days 00:01:27.134000,87.134,Brazil,2024
VER,3.0,0 days 00:01:26.240000,86.24,Brazil,2024
VER,4.0,0 days 00:01:26.702000,86.702,Brazil,2024
VER,5.0,0 days 00:01:25.394000,85.394,Brazil,2024
VER,6.0,0 days 00:01:24.311000,84.311,Brazil,2024
VER,7.0,0 days 00:01:24.342000,84.342,Brazil,2024
VER,8.0,0 days 00:01:24.657000,84.657,Brazil,2024
VER,9.0,0 days 00:01:24.778000,84.778,Brazil,2024
VER,10.0,0 days 00:01:24.015000,84.015,Brazil,2024
VER,11.0,0 days 00:01:24.156000,84.156,Brazil,2024
VER,12.0,0 days 00:01:23.430000,83.43,Brazil,2024
VER,13.0,0 days 00:01:24.512000,84.512,Brazil,2024
VER,14.0,0 days 00:01:24.791000,84.791,Brazil,2024
VER,15.0,0 days 00:01:24.669000,84.669,Brazil,2024
VER,16.0,0 days 00:01:25.131000,85.131,Brazil,2024
VER,17.0,0 days 00:01:24.328000,84.328,Brazil,2024
VER,18.0,0 days 00:01:24.248000,84.248,Brazil,2024
VER,19.0,0 days 00:01:24.493000,84.493,Brazil,2024
VER,20.0,0 days 00:01:23.915000,83.915,Brazil,2024
VER,21.0,0 days 00:01:24.269000,84.269,Brazil,2024
VER,22.0,0 days 00:01:25.055000,85.055,Brazil,2024
VER,23.0,0 days 00:01:24.267000,84.267,Brazil,2024
VER,24.0,0 days 00:01:24.530000,84.53,Brazil,2024
VER,25.0,0 days 00:01:24.156000,84.156,Brazil,2024
VER,26.0,0 days 00:01:25.252000,85.252,Brazil,2024
VER,27.0,0 days 00:01:28.393000,88.393,Brazil,2024
VER,28.0,0 days 00:01:51.717000,111.717,Brazil,2024
VER,29.0,0 days 00:01:45.014000,105.014,Brazil,2024
VER,30.0,0 days 00:01:59.319000,119.319,Brazil,2024
VER,31.0,0 days 00:02:04.967000,124.967,Brazil,2024
VER,32.0,,,Brazil,2024
VER,33.0,,,Brazil,2024
VER,34.0,0 days 00:01:30.360000,90.36,Brazil,2024
VER,35.0,0 days 00:01:28.006000,88.006,Brazil,2024
VER,36.0,0 days 00:01:26.509000,86.509,Brazil,2024
VER,37.0,0 days 00:01:25.286000,85.286,Brazil,2024
VER,38.0,0 days 00:01:24.391000,84.391,Brazil,2024
VER,39.0,0 days 00:01:25.296000,85.296,Brazil,2024
VER,40.0,0 days 00:02:09.449000,129.449,Brazil,2024
VER,41.0,0 days 00:02:05.095000,125.095,Brazil,2024
VER,42.0,0 days 00:02:22.964000,142.964,Brazil,2024
VER,43.0,0 days 00:01:25.676000,85.676,Brazil,2024
VER,44.0,0 days 00:01:23.884000,83.884,Brazil,2024
VER,45.0,0 days 00:01:22.876000,82.876,Brazil,2024
VER,46.0,0 days 00:01:23.106000,83.106,Brazil,2024
VER,47.0,0 days 00:01:22.453000,82.453,Brazil,2024
VER,48.0,0 days 00:01:22.290000,82.29,Brazil,2024
VER,49.0,0 days 00:01:22.241000,82.241,Brazil,2024
VER,50.0,0 days 00:01:22.043000,82.043,Brazil,2024
VER,51.0,0 days 00:01:22.306000,82.306,Brazil,2024
VER,52.0,0 days 00:01:22.380000,82.38,Brazil,2024
VER,53.0,0 days 00:01:22.251000,82.251,Brazil,2024
VER,54.0,0 days 00:01:22.246000,82.246,Brazil,2024
VER,55.0,0 days 00:01:22.291000,82.291,Brazil,2024
VER,56.0,0 days 00:01:22.005000,82.005,Brazil,2024
VER,57.0,0 days 00:01:21.862000,81.862,Brazil,2024
VER,58.0,0 days 00:01:21.782000,81.782,Brazil,2024
VER,59.0,0 days 00:01:21.551000,81.551,Brazil,2024
VER,60.0,0 days 00:01:21.331000,81.331,Brazil,2024
VER,61.0,0 days 00:01:21.336000,81.336,Brazil,2024
VER,62.0,0 days 00:01:21.069000,81.069,Brazil,2024
VER,63.0,0 days 00:01:21.232000,81.232,Brazil,2024
VER,64.0,0 days 00:01:21.029000,81.029,Brazil,2024
VER,65.0,0 days 00:01:20.990000,80.99,Brazil,2024
VER,66.0,0 days 00:01:21.111000,81.111,Brazil,2024
VER,67.0,0 days 00:01:20.472000,80.472,Brazil,2024
VER,68.0,0 days 00:01:21.554000,81.554,Brazil,2024
VER,69.0,0 days 00:01:21.322000,81.322,Brazil,2024
GAS,1.0,0 days 00:01:38.052000,98.052,Brazil,2024
GAS,2.0,0 days 00:01:27.330000,87.33,Brazil,2024
GAS,3.0,0 days 00:01:26.668000,86.668,Brazil,2024
GAS,4.0,0 days 00:01:26.864000,86.864,Brazil,2024
GAS,5.0,0 days 00:01:26.804000,86.804,Brazil,2024
GAS,6.0,0 days 00:01:25.604000,85.604,Brazil,2024
GAS,7.0,0 days 00:01:25.323000,85.323,Brazil,2024
GAS,8.0,0 days 00:01:25.227000,85.227,Brazil,2024
GAS,9.0,0 days 00:01:25.105000,85.105,Brazil,2024
GAS,10.0,0 days 00:01:25.021000,85.021,Brazil,2024
GAS,11.0,0 days 00:01:24.829000,84.829,Brazil,2024
GAS,12.0,0 days 00:01:26.151000,86.151,Brazil,2024
GAS,13.0,0 days 00:01:24.937000,84.937,Brazil,2024
GAS,14.0,0 days 00:01:24.798000,84.798,Brazil,2024
GAS,15.0,0 days 00:01:24.660000,84.66,Brazil,2024
GAS,16.0,0 days 00:01:24.351000,84.351,Brazil,2024
