Driver,Stint,Compound,StartLap,EndLap,Laps,Race,Season
ALO,1.0,INTERMEDIATE,1.0,27.0,27,Brazil,2024
ALO,2.0,INTERMEDIATE,28.0,32.0,5,Brazil,2024
ALO,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
BEA,1.0,INTERMEDIATE,1.0,27.0,27,Brazil,2024
BEA,2.0,INTERMEDIATE,28.0,32.0,5,Brazil,2024
BEA,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
BOT,1.0,INTERMEDIATE,1.0,32.0,32,Brazil,2024
BOT,2.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
COL,1.0,INTERMEDIATE,1.0,26.0,26,Brazil,2024
COL,2.0,INTERMEDIATE,27.0,30.0,4,Brazil,2024
GAS,1.0,INTERMEDIATE,1.0,32.0,32,Brazil,2024
GAS,2.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
HAM,1.0,INTERMEDIATE,1.0,27.0,27,Brazil,2024
HAM,2.0,INTERMEDIATE,28.0,32.0,5,Brazil,2024
HAM,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
HUL,1.0,INTERMEDIATE,1.0,25.0,25,Brazil,2024
HUL,2.0,INTERMEDIATE,26.0,27.0,2,Brazil,2024
HUL,3.0,WET,28.0,29.0,2,Brazil,2024
HUL,4.0,INTERMEDIATE,30.0,30.0,1,Brazil,2024
LAW,1.0,INTERMEDIATE,1.0,28.0,28,Brazil,2024
LAW,2.0,WET,29.0,32.0,4,Brazil,2024
LAW,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
LEC,1.0,INTERMEDIATE,1.0,24.0,24,Brazil,2024
LEC,2.0,INTERMEDIATE,25.0,32.0,8,Brazil,2024
LEC,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
NOR,1.0,INTERMEDIATE,1.0,28.0,28,Brazil,2024
NOR,2.0,INTERMEDIATE,29.0,32.0,4,Brazil,2024
NOR,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
OCO,1.0,INTERMEDIATE,1.0,32.0,32,Brazil,2024
OCO,2.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
PER,1.0,INTERMEDIATE,1.0,27.0,27,Brazil,2024
PER,2.0,WET,28.0,32.0,5,Brazil,2024
PER,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
PIA,1.0,INTERMEDIATE,1.0,27.0,27,Brazil,2024
PIA,2.0,INTERMEDIATE,28.0,32.0,5,Brazil,2024
PIA,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
RUS,1.0,INTERMEDIATE,1.0,28.0,28,Brazil,2024
RUS,2.0,INTERMEDIATE,29.0,32.0,4,Brazil,2024
RUS,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
SAI,1.0,INTERMEDIATE,1.0,27.0,27,Brazil,2024
SAI,2.0,INTERMEDIATE,28.0,32.0,5,Brazil,2024
SAI,3.0,INTERMEDIATE,33.0,39.0,7,Brazil,2024
STR,1.0,INTERMEDIATE,1.0,1.0,1,Brazil,2024
TSU,1.0,INTERMEDIATE,1.0,28.0,28,Brazil,2024
TSU,2.0,WET,29.0,32.0,4,Brazil,2024
TSU,3.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
VER,1.0,INTERMEDIATE,1.0,32.0,32,Brazil,2024
VER,2.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
ZHO,1.0,INTERMEDIATE,1.0,27.0,27,Brazil,2024
ZHO,2.0,INTERMEDIATE,28.0,28.0,1,Brazil,2024
ZHO,3.0,WET,29.0,31.0,3,Brazil,2024
ZHO,4.0,INTERMEDIATE,32.0,32.0,1,Brazil,2024
ZHO,5.0,INTERMEDIATE,33.0,69.0,37,Brazil,2024
