Driver,TotalLaps,AvgLapTime,Overtakes,FinalPosition,Weather,Race,Season
ALB,25,101.28084,7,19.0,Not Rainy,Las Vegas,2024
ALO,50,99.90328,14,11.0,Not Rainy,Las Vegas,2024
BOT,49,100.760285714,8,18.0,Not Rainy,Las Vegas,2024
COL,50,100.02282,13,14.0,Not Rainy,Las Vegas,2024
GAS,15,102.464866666,2,20.0,Not Rainy,Las Vegas,2024
HAM,50,98.66564,13,2.0,Not Rainy,Las Vegas,2024
HUL,50,99.71554,14,8.0,Not Rainy,Las Vegas,2024
LAW,50,100.33948,10,16.0,Not Rainy,Las Vegas,2024
LEC,50,98.80504,8,4.0,Not Rainy,Las Vegas,2024
MAG,50,99.91544,12,12.0,Not Rainy,Las Vegas,2024
NOR,50,99.38708,10,6.0,Not Rainy,Las Vegas,2024
OCO,49,100.572020408,11,17.0,Not Rainy,Las Vegas,2024
PER,50,99.78166,17,10.0,Not Rainy,Las Vegas,2024
PIA,50,99.54668,14,7.0,Not Rainy,Las Vegas,2024
RUS,50,98.51938,1,1.0,Not Rainy,Las Vegas,2024
SAI,50,98.7575,9,3.0,Not Rainy,Las Vegas,2024
STR,50,100.20142,9,15.0,Not Rainy,Las Vegas,2024
TSU,50,99.77554,8,9.0,Not Rainy,Las Vegas,2024
VER,50,98.85102,8,5.0,Not Rainy,Las Vegas,2024
ZHO,50,100.00108,12,13.0,Not Rainy,Las Vegas,2024
