Driver,LapNumber,LapTime,LapTimeSeconds,Race,Season
RUS,1.0,0 days 00:01:43.267000,103.267,Las Vegas,2024
RUS,2.0,0 days 00:01:39.077000,99.077,Las Vegas,2024
RUS,3.0,0 days 00:01:38.864000,98.864,Las Vegas,2024
RUS,4.0,0 days 00:01:38.748000,98.748,Las Vegas,2024
RUS,5.0,0 days 00:01:38.136000,98.136,Las Vegas,2024
RUS,6.0,0 days 00:01:38.330000,98.33,Las Vegas,2024
RUS,7.0,0 days 00:01:38.498000,98.498,Las Vegas,2024
RUS,8.0,0 days 00:01:38.353000,98.353,Las Vegas,2024
RUS,9.0,0 days 00:01:38.751000,98.751,Las Vegas,2024
RUS,10.0,0 days 00:01:38.681000,98.681,Las Vegas,2024
RUS,11.0,0 days 00:01:38.689000,98.689,Las Vegas,2024
RUS,12.0,0 days 00:01:43.522000,103.522,Las Vegas,2024
RUS,13.0,0 days 00:01:54.754000,114.754,Las Vegas,2024
RUS,14.0,0 days 00:01:38.296000,98.296,Las Vegas,2024
RUS,15.0,0 days 00:01:38.331000,98.331,Las Vegas,2024
RUS,16.0,0 days 00:01:37.913000,97.913,Las Vegas,2024
RUS,17.0,0 days 00:01:37.869000,97.869,Las Vegas,2024
RUS,18.0,0 days 00:01:37.964000,97.964,Las Vegas,2024
RUS,19.0,0 days 00:01:38.003000,98.003,Las Vegas,2024
RUS,20.0,0 days 00:01:37.733000,97.733,Las Vegas,2024
RUS,21.0,0 days 00:01:37.359000,97.359,Las Vegas,2024
RUS,22.0,0 days 00:01:37.556000,97.556,Las Vegas,2024
RUS,23.0,0 days 00:01:37.730000,97.73,Las Vegas,2024
RUS,24.0,0 days 00:01:37.576000,97.576,Las Vegas,2024
RUS,25.0,0 days 00:01:37.724000,97.724,Las Vegas,2024
RUS,26.0,0 days 00:01:37.467000,97.467,Las Vegas,2024
RUS,27.0,0 days 00:01:37.609000,97.609,Las Vegas,2024
RUS,28.0,0 days 00:01:37.896000,97.896,Las Vegas,2024
RUS,29.0,0 days 00:01:37.556000,97.556,Las Vegas,2024
RUS,30.0,0 days 00:01:37.544000,97.544,Las Vegas,2024
RUS,31.0,0 days 00:01:37.801000,97.801,Las Vegas,2024
RUS,32.0,0 days 00:01:42.229000,102.229,Las Vegas,2024
RUS,33.0,0 days 00:01:53.703000,113.703,Las Vegas,2024
RUS,34.0,0 days 00:01:37.621000,97.621,Las Vegas,2024
RUS,35.0,0 days 00:01:37.246000,97.246,Las Vegas,2024
RUS,36.0,0 days 00:01:37.021000,97.021,Las Vegas,2024
RUS,37.0,0 days 00:01:36.844000,96.844,Las Vegas,2024
RUS,38.0,0 days 00:01:36.407000,96.407,Las Vegas,2024
RUS,39.0,0 days 00:01:36.275000,96.275,Las Vegas,2024
RUS,40.0,0 days 00:01:36.358000,96.358,Las Vegas,2024
RUS,41.0,0 days 00:01:36.559000,96.559,Las Vegas,2024
RUS,42.0,0 days 00:01:36.344000,96.344,Las Vegas,2024
RUS,43.0,0 days 00:01:35.951000,95.951,Las Vegas,2024
RUS,44.0,0 days 00:01:35.946000,95.946,Las Vegas,2024
RUS,45.0,0 days 00:01:36.057000,96.057,Las Vegas,2024
RUS,46.0,0 days 00:01:35.717000,95.717,Las Vegas,2024
RUS,47.0,0 days 00:01:36.360000,96.36,Las Vegas,2024
RUS,48.0,0 days 00:01:36.663000,96.663,Las Vegas,2024
RUS,49.0,0 days 00:01:37.204000,97.204,Las Vegas,2024
RUS,50.0,0 days 00:01:37.867000,97.867,Las Vegas,2024
HAM,1.0,0 days 00:01:49.116000,109.116,Las Vegas,2024
HAM,2.0,0 days 00:01:40.033000,100.033,Las Vegas,2024
HAM,3.0,0 days 00:01:39.403000,99.403,Las Vegas,2024
HAM,4.0,0 days 00:01:39.157000,99.157,Las Vegas,2024
HAM,5.0,0 days 00:01:39.207000,99.207,Las Vegas,2024
HAM,6.0,0 days 00:01:38.648000,98.648,Las Vegas,2024
HAM,7.0,0 days 00:01:40.235000,100.235,Las Vegas,2024
HAM,8.0,0 days 00:01:39.095000,99.095,Las Vegas,2024
HAM,9.0,0 days 00:01:40.926000,100.926,Las Vegas,2024
HAM,10.0,0 days 00:01:40.200000,100.2,Las Vegas,2024
HAM,11.0,0 days 00:01:39.007000,99.007,Las Vegas,2024
HAM,12.0,0 days 00:01:39.078000,99.078,Las Vegas,2024
HAM,13.0,0 days 00:01:43.190000,103.19,Las Vegas,2024
HAM,14.0,0 days 00:01:54.928000,114.928,Las Vegas,2024
HAM,15.0,0 days 00:01:37.772000,97.772,Las Vegas,2024
HAM,16.0,0 days 00:01:37.091000,97.091,Las Vegas,2024
HAM,17.0,0 days 00:01:39.354000,99.354,Las Vegas,2024
HAM,18.0,0 days 00:01:37.668000,97.668,Las Vegas,2024
HAM,19.0,0 days 00:01:38.140000,98.14,Las Vegas,2024
HAM,20.0,0 days 00:01:37.275000,97.275,Las Vegas,2024
HAM,21.0,0 days 00:01:37.355000,97.355,Las Vegas,2024
HAM,22.0,0 days 00:01:37.086000,97.086,Las Vegas,2024
HAM,23.0,0 days 00:01:37.121000,97.121,Las Vegas,2024
HAM,24.0,0 days 00:01:37.323000,97.323,Las Vegas,2024
HAM,25.0,0 days 00:01:38.213000,98.213,Las Vegas,2024
HAM,26.0,0 days 00:01:37.055000,97.055,Las Vegas,2024
HAM,27.0,0 days 00:01:43.830000,103.83,Las Vegas,2024
HAM,28.0,0 days 00:01:52.902000,112.902,Las Vegas,2024
HAM,29.0,0 days 00:01:36.951000,96.951,Las Vegas,2024
HAM,30.0,0 days 00:01:36.748000,96.748,Las Vegas,2024
HAM,31.0,0 days 00:01:36.412000,96.412,Las Vegas,2024
HAM,32.0,0 days 00:01:36.960000,96.96,Las Vegas,2024
HAM,33.0,0 days 00:01:37.293000,97.293,Las Vegas,2024
