Driver,Stint,Compound,StartLap,EndLap,Laps,Race,Season
ALB,1.0,MEDIUM,1.0,9.0,9,Las Vegas,2024
ALB,2.0,HARD,10.0,25.0,16,Las Vegas,2024
ALO,1.0,SOFT,1.0,4.0,4,Las Vegas,2024
ALO,2.0,HARD,5.0,24.0,20,Las Vegas,2024
ALO,3.0,HARD,25.0,50.0,26,Las Vegas,2024
BOT,1.0,HARD,1.0,17.0,17,Las Vegas,2024
BOT,2.0,MEDIUM,18.0,35.0,18,Las Vegas,2024
BOT,3.0,HARD,36.0,49.0,14,Las Vegas,2024
COL,1.0,HARD,1.0,16.0,16,Las Vegas,2024
COL,2.0,MEDIUM,17.0,26.0,10,Las Vegas,2024
COL,3.0,HARD,27.0,50.0,24,Las Vegas,2024
GAS,1.0,MEDIUM,1.0,10.0,10,Las Vegas,2024
GAS,2.0,HARD,11.0,15.0,5,Las Vegas,2024
HAM,1.0,MEDIUM,1.0,13.0,13,Las Vegas,2024
HAM,2.0,HARD,14.0,27.0,14,Las Vegas,2024
HAM,3.0,HARD,28.0,50.0,23,Las Vegas,2024
HUL,1.0,MEDIUM,1.0,14.0,14,Las Vegas,2024
HUL,2.0,HARD,15.0,33.0,19,Las Vegas,2024
HUL,3.0,HARD,34.0,50.0,17,Las Vegas,2024
LAW,1.0,MEDIUM,1.0,11.0,11,Las Vegas,2024
LAW,2.0,HARD,12.0,38.0,27,Las Vegas,2024
LAW,3.0,HARD,39.0,50.0,12,Las Vegas,2024
LEC,1.0,MEDIUM,1.0,9.0,9,Las Vegas,2024
LEC,2.0,HARD,10.0,31.0,22,Las Vegas,2024
LEC,3.0,HARD,32.0,50.0,19,Las Vegas,2024
MAG,1.0,MEDIUM,1.0,17.0,17,Las Vegas,2024
MAG,2.0,HARD,18.0,50.0,33,Las Vegas,2024
NOR,1.0,MEDIUM,1.0,9.0,9,Las Vegas,2024
NOR,2.0,HARD,10.0,30.0,21,Las Vegas,2024
NOR,3.0,HARD,31.0,48.0,18,Las Vegas,2024
NOR,4.0,SOFT,49.0,50.0,2,Las Vegas,2024
OCO,1.0,MEDIUM,1.0,11.0,11,Las Vegas,2024
OCO,2.0,MEDIUM,12.0,12.0,1,Las Vegas,2024
OCO,3.0,HARD,13.0,45.0,33,Las Vegas,2024
OCO,4.0,SOFT,46.0,49.0,4,Las Vegas,2024
PER,1.0,HARD,1.0,17.0,17,Las Vegas,2024
PER,2.0,MEDIUM,18.0,32.0,15,Las Vegas,2024
PER,3.0,HARD,33.0,50.0,18,Las Vegas,2024
PIA,1.0,MEDIUM,1.0,10.0,10,Las Vegas,2024
PIA,2.0,HARD,11.0,25.0,15,Las Vegas,2024
PIA,3.0,HARD,26.0,50.0,25,Las Vegas,2024
RUS,1.0,MEDIUM,1.0,12.0,12,Las Vegas,2024
RUS,2.0,HARD,13.0,32.0,20,Las Vegas,2024
RUS,3.0,HARD,33.0,50.0,18,Las Vegas,2024
SAI,1.0,MEDIUM,1.0,10.0,10,Las Vegas,2024
SAI,2.0,HARD,11.0,28.0,18,Las Vegas,2024
SAI,3.0,HARD,29.0,50.0,22,Las Vegas,2024
STR,1.0,MEDIUM,1.0,9.0,9,Las Vegas,2024
STR,2.0,HARD,10.0,28.0,19,Las Vegas,2024
STR,3.0,HARD,29.0,50.0,22,Las Vegas,2024
TSU,1.0,MEDIUM,1.0,10.0,10,Las Vegas,2024
TSU,2.0,HARD,11.0,29.0,19,Las Vegas,2024
TSU,3.0,HARD,30.0,50.0,21,Las Vegas,2024
VER,1.0,MEDIUM,1.0,11.0,11,Las Vegas,2024
VER,2.0,HARD,12.0,27.0,16,Las Vegas,2024
VER,3.0,HARD,28.0,50.0,23,Las Vegas,2024
ZHO,1.0,MEDIUM,1.0,11.0,11,Las Vegas,2024
ZHO,2.0,HARD,12.0,34.0,23,Las Vegas,2024
ZHO,3.0,HARD,35.0,50.0,16,Las Vegas,2024
