Driver,TotalLaps,AvgLapTime,Overtakes,FinalPosition,Weather,Race,Season
ALB,1,,0,19.0,Not Rainy,Mexico,2024
ALO,15,101.749266666,0,18.0,Not Rainy,Mexico,2024
BOT,70,87.114671428,10,14.0,Not Rainy,Mexico,2024
COL,70,86.904242857,10,12.0,Not Rainy,Mexico,2024
GAS,70,86.776957142,6,10.0,Not Rainy,Mexico,2024
HAM,71,85.923661971,6,4.0,Not Rainy,Mexico,2024
HUL,70,86.550285714,7,9.0,Not Rainy,Mexico,2024
LAW,70,87.432371428,11,16.0,Not Rainy,Mexico,2024
LEC,71,85.77728169,1,3.0,Not Rainy,Mexico,2024
MAG,71,86.189323943,6,7.0,Not Rainy,Mexico,2024
NOR,71,85.359225352,3,2.0,Not Rainy,Mexico,2024
OCO,70,87.078042857,9,13.0,Not Rainy,Mexico,2024
PER,70,87.558342857,5,17.0,Not Rainy,Mexico,2024
PIA,71,86.207436619,18,8.0,Not Rainy,Mexico,2024
RUS,71,85.97656338,4,5.0,Not Rainy,Mexico,2024
SAI,71,85.292957746,1,1.0,Not Rainy,Mexico,2024
STR,70,86.8696,5,11.0,Not Rainy,Mexico,2024
TSU,1,,0,20.0,Not Rainy,Mexico,2024
VER,71,86.131802816,7,6.0,Not Rainy,Mexico,2024
ZHO,70,87.393171428,7,15.0,Not Rainy,Mexico,2024
