Driver,LapNumber,LapTime,LapTimeSeconds,Race,Season
SAI,1.0,0 days 00:01:47.224000,107.224,Mexico,2024
SAI,2.0,0 days 00:02:17.937000,137.937,Mexico,2024
SAI,3.0,0 days 00:02:13.771000,133.771,Mexico,2024
SAI,4.0,0 days 00:02:10.043000,130.043,Mexico,2024
SAI,5.0,0 days 00:02:09.925000,129.925,Mexico,2024
SAI,6.0,0 days 00:02:03.834000,123.834,Mexico,2024
SAI,7.0,0 days 00:01:21.830000,81.83,Mexico,2024
SAI,8.0,0 days 00:01:21.284000,81.284,Mexico,2024
SAI,9.0,0 days 00:01:22.493000,82.493,Mexico,2024
SAI,10.0,0 days 00:01:22.438000,82.438,Mexico,2024
SAI,11.0,0 days 00:01:21.847000,81.847,Mexico,2024
SAI,12.0,0 days 00:01:21.515000,81.515,Mexico,2024
SAI,13.0,0 days 00:01:21.715000,81.715,Mexico,2024
SAI,14.0,0 days 00:01:21.475000,81.475,Mexico,2024
SAI,15.0,0 days 00:01:21.516000,81.516,Mexico,2024
SAI,16.0,0 days 00:01:21.590000,81.59,Mexico,2024
SAI,17.0,0 days 00:01:22.012000,82.012,Mexico,2024
SAI,18.0,0 days 00:01:21.765000,81.765,Mexico,2024
SAI,19.0,0 days 00:01:21.715000,81.715,Mexico,2024
SAI,20.0,0 days 00:01:21.789000,81.789,Mexico,2024
SAI,21.0,0 days 00:01:21.413000,81.413,Mexico,2024
SAI,22.0,0 days 00:01:21.682000,81.682,Mexico,2024
SAI,23.0,0 days 00:01:21.516000,81.516,Mexico,2024
SAI,24.0,0 days 00:01:21.428000,81.428,Mexico,2024
SAI,25.0,0 days 00:01:21.659000,81.659,Mexico,2024
SAI,26.0,0 days 00:01:21.596000,81.596,Mexico,2024
SAI,27.0,0 days 00:01:21.827000,81.827,Mexico,2024
SAI,28.0,0 days 00:01:22.008000,82.008,Mexico,2024
SAI,29.0,0 days 00:01:21.869000,81.869,Mexico,2024
SAI,30.0,0 days 00:01:21.837000,81.837,Mexico,2024
SAI,31.0,0 days 00:01:22.057000,82.057,Mexico,2024
SAI,32.0,0 days 00:01:25.108000,85.108,Mexico,2024
SAI,33.0,0 days 00:01:39.813000,99.813,Mexico,2024
SAI,34.0,0 days 00:01:21.037000,81.037,Mexico,2024
SAI,35.0,0 days 00:01:21.190000,81.19,Mexico,2024
SAI,36.0,0 days 00:01:21.079000,81.079,Mexico,2024
SAI,37.0,0 days 00:01:21.153000,81.153,Mexico,2024
SAI,38.0,0 days 00:01:20.616000,80.616,Mexico,2024
SAI,39.0,0 days 00:01:20.995000,80.995,Mexico,2024
SAI,40.0,0 days 00:01:20.688000,80.688,Mexico,2024
SAI,41.0,0 days 00:01:20.980000,80.98,Mexico,2024
SAI,42.0,0 days 00:01:20.939000,80.939,Mexico,2024
SAI,43.0,0 days 00:01:20.840000,80.84,Mexico,2024
SAI,44.0,0 days 00:01:20.806000,80.806,Mexico,2024
SAI,45.0,0 days 00:01:20.582000,80.582,Mexico,2024
SAI,46.0,0 days 00:01:20.592000,80.592,Mexico,2024
SAI,47.0,0 days 00:01:20.375000,80.375,Mexico,2024
SAI,48.0,0 days 00:01:20.747000,80.747,Mexico,2024
SAI,49.0,0 days 00:01:20.815000,80.815,Mexico,2024
SAI,50.0,0 days 00:01:20.733000,80.733,Mexico,2024
SAI,51.0,0 days 00:01:20.825000,80.825,Mexico,2024
SAI,52.0,0 days 00:01:20.965000,80.965,Mexico,2024
SAI,53.0,0 days 00:01:20.719000,80.719,Mexico,2024
SAI,54.0,0 days 00:01:20.650000,80.65,Mexico,2024
SAI,55.0,0 days 00:01:20.306000,80.306,Mexico,2024
SAI,56.0,0 days 00:01:20.256000,80.256,Mexico,2024
SAI,57.0,0 days 00:01:20.315000,80.315,Mexico,2024
SAI,58.0,0 days 00:01:20.341000,80.341,Mexico,2024
SAI,59.0,0 days 00:01:20.730000,80.73,Mexico,2024
SAI,60.0,0 days 00:01:20.326000,80.326,Mexico,2024
SAI,61.0,0 days 00:01:20.215000,80.215,Mexico,2024
SAI,62.0,0 days 00:01:20.137000,80.137,Mexico,2024
SAI,63.0,0 days 00:01:20.556000,80.556,Mexico,2024
SAI,64.0,0 days 00:01:20.493000,80.493,Mexico,2024
SAI,65.0,0 days 00:01:20.523000,80.523,Mexico,2024
SAI,66.0,0 days 00:01:20.301000,80.301,Mexico,2024
SAI,67.0,0 days 00:01:20.651000,80.651,Mexico,2024
SAI,68.0,0 days 00:01:20.375000,80.375,Mexico,2024
SAI,69.0,0 days 00:01:20.398000,80.398,Mexico,2024
SAI,70.0,0 days 00:01:20.435000,80.435,Mexico,2024
SAI,71.0,0 days 00:01:20.585000,80.585,Mexico,2024
NOR,1.0,0 days 00:01:49.304000,109.304,Mexico,2024
NOR,2.0,0 days 00:02:18.718000,138.718,Mexico,2024
NOR,3.0,0 days 00:02:13.243000,133.243,Mexico,2024
NOR,4.0,0 days 00:02:11.100000,131.1,Mexico,2024
NOR,5.0,0 days 00:02:09.824000,129.824,Mexico,2024
NOR,6.0,0 days 00:02:01.270000,121.27,Mexico,2024
NOR,7.0,0 days 00:01:21.885000,81.885,Mexico,2024
NOR,8.0,0 days 00:01:21.724000,81.724,Mexico,2024
NOR,9.0,0 days 00:01:22.413000,82.413,Mexico,2024
NOR,10.0,0 days 00:01:24.863000,84.863,Mexico,2024
NOR,11.0,0 days 00:01:22.047000,82.047,Mexico,2024
NOR,12.0,0 days 00:01:21.803000,81.803,Mexico,2024
NOR,13.0,0 days 00:01:21.935000,81.935,Mexico,2024
NOR,14.0,0 days 00:01:21.988000,81.988,Mexico,2024
NOR,15.0,0 days 00:01:22.146000,82.146,Mexico,2024
NOR,16.0,0 days 00:01:21.981000,81.981,Mexico,2024
NOR,17.0,0 days 00:01:22.332000,82.332,Mexico,2024
NOR,18.0,0 days 00:01:22.271000,82.271,Mexico,2024
NOR,19.0,0 days 00:01:22.393000,82.393,Mexico,2024
NOR,20.0,0 days 00:01:22.352000,82.352,Mexico,2024
NOR,21.0,0 days 00:01:22.137000,82.137,Mexico,2024
NOR,22.0,0 days 00:01:22.311000,82.311,Mexico,2024
NOR,23.0,0 days 00:01:22.290000,82.29,Mexico,2024
NOR,24.0,0 days 00:01:22.062000,82.062,Mexico,2024
NOR,25.0,0 days 00:01:22.535000,82.535,Mexico,2024
NOR,26.0,0 days 00:01:22.630000,82.63,Mexico,2024
NOR,27.0,0 days 00:01:22.185000,82.185,Mexico,2024
NOR,28.0,0 days 00:01:22.676000,82.676,Mexico,2024
NOR,29.0,0 days 00:01:22.735000,82.735,Mexico,2024
NOR,30.0,0 days 00:01:26.051000,86.051,Mexico,2024
NOR,31.0,0 days 00:01:39.899000,99.899,Mexico,2024
NOR,32.0,0 days 00:01:21.052000,81.052,Mexico,2024
NOR,33.0,0 days 00:01:20.859000,80.859,Mexico,2024
NOR,34.0,0 days 00:01:20.881000,80.881,Mexico,2024
NOR,35.0,0 days 00:01:20.697000,80.697,Mexico,2024
NOR,36.0,0 days 00:01:20.703000,80.703,Mexico,2024
NOR,37.0,0 days 00:01:21.008000,81.008,Mexico,2024
NOR,38.0,0 days 00:01:20.868000,80.868,Mexico,2024
NOR,39.0,0 days 00:01:20.710000,80.71,Mexico,2024
NOR,40.0,0 days 00:01:20.845000,80.845,Mexico,2024
NOR,41.0,0 days 00:01:20.768000,80.768,Mexico,2024
NOR,42.0,0 days 00:01:20.451000,80.451,Mexico,2024
NOR,43.0,0 days 00:01:20.687000,80.687,Mexico,2024
NOR,44.0,0 days 00:01:20.385000,80.385,Mexico,2024
NOR,45.0,0 days 00:01:20.370000,80.37,Mexico,2024
NOR,46.0,0 days 00:01:20.221000,80.221,Mexico,2024
NOR,47.0,0 days 00:01:20.561000,80.561,Mexico,2024
NOR,48.0,0 days 00:01:20.443000,80.443,Mexico,2024
NOR,49.0,0 days 00:01:20.638000,80.638,Mexico,2024
NOR,50.0,0 days 00:01:20.545000,80.545,Mexico,2024
NOR,51.0,0 days 00:01:20.405000,80.405,Mexico,2024
NOR,52.0,0 days 00:01:20.474000,80.474,Mexico,2024
NOR,53.0,0 days 00:01:20.471000,80.471,Mexico,2024
NOR,54.0,0 days 00:01:20.667000,80.667,Mexico,2024
NOR,55.0,0 days 00:01:20.398000,80.398,Mexico,2024
NOR,56.0,0 days 00:01:20.509000,80.509,Mexico,2024
NOR,57.0,0 days 00:01:20.271000,80.271,Mexico,2024
NOR,58.0,0 days 00:01:20.405000,80.405,Mexico,2024
NOR,59.0,0 days 00:01:20.163000,80.163,Mexico,2024
NOR,60.0,0 days 00:01:20.272000,80.272,Mexico,2024
NOR,61.0,0 days 00:01:20.045000,80.045,Mexico,2024
NOR,62.0,0 days 00:01:20.141000,80.141,Mexico,2024
NOR,63.0,0 days 00:01:19.858000,79.858,Mexico,2024
NOR,64.0,0 days 00:01:20.494000,80.494,Mexico,2024
