Driver,Stint,Compound,StartLap,EndLap,Laps,Race,Season
ALB,1.0,MEDIUM,1.0,1.0,1,Mexico,2024
ALO,1.0,MEDIUM,1.0,15.0,15,Mexico,2024
BOT,1.0,HARD,1.0,49.0,49,Mexico,2024
BOT,2.0,MEDIUM,50.0,70.0,21,Mexico,2024
COL,1.0,HARD,1.0,47.0,47,Mexico,2024
COL,2.0,MEDIUM,48.0,70.0,23,Mexico,2024
GAS,1.0,MEDIUM,1.0,28.0,28,Mexico,2024
GAS,2.0,HARD,29.0,70.0,42,Mexico,2024
HAM,1.0,MEDIUM,1.0,28.0,28,Mexico,2024
HAM,2.0,HARD,29.0,71.0,43,Mexico,2024
HUL,1.0,MEDIUM,1.0,29.0,29,Mexico,2024
HUL,2.0,HARD,30.0,70.0,41,Mexico,2024
LAW,1.0,HARD,1.0,39.0,39,Mexico,2024
LAW,2.0,MEDIUM,40.0,65.0,26,Mexico,2024
LAW,3.0,SOFT,66.0,70.0,5,Mexico,2024
LEC,1.0,MEDIUM,1.0,31.0,31,Mexico,2024
LEC,2.0,HARD,32.0,69.0,38,Mexico,2024
LEC,3.0,SOFT,70.0,71.0,2,Mexico,2024
MAG,1.0,MEDIUM,1.0,30.0,30,Mexico,2024
MAG,2.0,HARD,31.0,71.0,41,Mexico,2024
NOR,1.0,MEDIUM,1.0,30.0,30,Mexico,2024
NOR,2.0,HARD,31.0,71.0,41,Mexico,2024
OCO,1.0,HARD,1.0,48.0,48,Mexico,2024
OCO,2.0,MEDIUM,49.0,70.0,22,Mexico,2024
PER,1.0,HARD,1.0,20.0,20,Mexico,2024
PER,2.0,MEDIUM,21.0,43.0,23,Mexico,2024
PER,3.0,MEDIUM,44.0,68.0,25,Mexico,2024
PER,4.0,SOFT,69.0,70.0,2,Mexico,2024
PIA,1.0,MEDIUM,1.0,39.0,39,Mexico,2024
PIA,2.0,HARD,40.0,71.0,32,Mexico,2024
RUS,1.0,MEDIUM,1.0,31.0,31,Mexico,2024
RUS,2.0,HARD,32.0,71.0,40,Mexico,2024
SAI,1.0,MEDIUM,1.0,32.0,32,Mexico,2024
SAI,2.0,HARD,33.0,71.0,39,Mexico,2024
STR,1.0,MEDIUM,1.0,26.0,26,Mexico,2024
STR,2.0,HARD,27.0,70.0,44,Mexico,2024
TSU,1.0,MEDIUM,1.0,1.0,1,Mexico,2024
VER,1.0,MEDIUM,1.0,26.0,26,Mexico,2024
VER,2.0,HARD,27.0,71.0,45,Mexico,2024
ZHO,1.0,HARD,1.0,43.0,43,Mexico,2024
ZHO,2.0,MEDIUM,44.0,70.0,27,Mexico,2024
