Driver,LapNumber,LapTime,LapTimeSeconds,Race,Season
VER,1.0,0 days 00:01:51.344000,111.344,Qatar,2024
VER,2.0,0 days 00:02:21.257000,141.257,Qatar,2024
VER,3.0,0 days 00:02:17.390000,137.39,Qatar,2024
VER,4.0,,,Qatar,2024
VER,5.0,0 days 00:01:26.724000,86.724,Qatar,2024
VER,6.0,0 days 00:01:26.502000,86.502,Qatar,2024
VER,7.0,0 days 00:01:26.376000,86.376,Qatar,2024
VER,8.0,0 days 00:01:26.280000,86.28,Qatar,2024
VER,9.0,0 days 00:01:26.200000,86.2,Qatar,2024
VER,10.0,0 days 00:01:25.973000,85.973,Qatar,2024
VER,11.0,0 days 00:01:25.808000,85.808,Qatar,2024
VER,12.0,0 days 00:01:25.903000,85.903,Qatar,2024
VER,13.0,0 days 00:01:25.843000,85.843,Qatar,2024
VER,14.0,0 days 00:01:25.812000,85.812,Qatar,2024
VER,15.0,0 days 00:01:25.698000,85.698,Qatar,2024
VER,16.0,0 days 00:01:25.605000,85.605,Qatar,2024
VER,17.0,0 days 00:01:25.460000,85.46,Qatar,2024
VER,18.0,0 days 00:01:25.079000,85.079,Qatar,2024
VER,19.0,0 days 00:01:25.309000,85.309,Qatar,2024
VER,20.0,0 days 00:01:24.896000,84.896,Qatar,2024
VER,21.0,0 days 00:01:24.970000,84.97,Qatar,2024
VER,22.0,0 days 00:01:24.908000,84.908,Qatar,2024
VER,23.0,0 days 00:01:24.856000,84.856,Qatar,2024
VER,24.0,0 days 00:01:24.825000,84.825,Qatar,2024
VER,25.0,0 days 00:01:24.702000,84.702,Qatar,2024
VER,26.0,0 days 00:01:24.775000,84.775,Qatar,2024
VER,27.0,0 days 00:01:24.720000,84.72,Qatar,2024
VER,28.0,0 days 00:01:24.719000,84.719,Qatar,2024
VER,29.0,0 days 00:01:24.861000,84.861,Qatar,2024
VER,30.0,0 days 00:01:25.127000,85.127,Qatar,2024
VER,31.0,0 days 00:01:24.413000,84.413,Qatar,2024
VER,32.0,0 days 00:01:24.427000,84.427,Qatar,2024
VER,33.0,0 days 00:01:24.350000,84.35,Qatar,2024
VER,34.0,0 days 00:01:24.468000,84.468,Qatar,2024
VER,35.0,0 days 00:01:32.307000,92.307,Qatar,2024
VER,36.0,,,Qatar,2024
VER,37.0,,,Qatar,2024
VER,38.0,,,Qatar,2024
VER,39.0,0 days 00:02:26.153000,146.153,Qatar,2024
VER,40.0,0 days 00:01:39.436000,99.436,Qatar,2024
VER,41.0,0 days 00:02:16.076000,136.076,Qatar,2024
VER,42.0,0 days 00:02:29.083000,149.083,Qatar,2024
VER,43.0,0 days 00:01:24.509000,84.509,Qatar,2024
VER,44.0,0 days 00:01:23.533000,83.533,Qatar,2024
VER,45.0,0 days 00:01:23.393000,83.393,Qatar,2024
VER,46.0,0 days 00:01:23.370000,83.37,Qatar,2024
VER,47.0,0 days 00:01:23.303000,83.303,Qatar,2024
VER,48.0,0 days 00:01:23.423000,83.423,Qatar,2024
VER,49.0,0 days 00:01:23.468000,83.468,Qatar,2024
VER,50.0,0 days 00:01:23.321000,83.321,Qatar,2024
VER,51.0,0 days 00:01:23.043000,83.043,Qatar,2024
VER,52.0,0 days 00:01:23.162000,83.162,Qatar,2024
VER,53.0,0 days 00:01:23.132000,83.132,Qatar,2024
VER,54.0,0 days 00:01:23.006000,83.006,Qatar,2024
VER,55.0,0 days 00:01:22.905000,82.905,Qatar,2024
VER,56.0,0 days 00:01:23.369000,83.369,Qatar,2024
VER,57.0,0 days 00:01:23.776000,83.776,Qatar,2024
GAS,1.0,0 days 00:02:10.912000,130.912,Qatar,2024
GAS,2.0,0 days 00:02:23.807000,143.807,Qatar,2024
GAS,3.0,0 days 00:02:19.509000,139.509,Qatar,2024
GAS,4.0,0 days 00:02:13.088000,133.088,Qatar,2024
GAS,5.0,0 days 00:01:31.425000,91.425,Qatar,2024
GAS,6.0,0 days 00:01:28.418000,88.418,Qatar,2024
GAS,7.0,0 days 00:01:27.738000,87.738,Qatar,2024
GAS,8.0,0 days 00:01:27.881000,87.881,Qatar,2024
GAS,9.0,0 days 00:01:27.580000,87.58,Qatar,2024
GAS,10.0,0 days 00:01:28.272000,88.272,Qatar,2024
GAS,11.0,0 days 00:01:28.181000,88.181,Qatar,2024
GAS,12.0,0 days 00:01:27.827000,87.827,Qatar,2024
GAS,13.0,0 days 00:01:26.986000,86.986,Qatar,2024
GAS,14.0,0 days 00:01:27.011000,87.011,Qatar,2024
GAS,15.0,0 days 00:01:26.737000,86.737,Qatar,2024
GAS,16.0,0 days 00:01:26.700000,86.7,Qatar,2024
GAS,17.0,0 days 00:01:26.514000,86.514,Qatar,2024
GAS,18.0,0 days 00:01:26.694000,86.694,Qatar,2024
GAS,19.0,0 days 00:01:26.696000,86.696,Qatar,2024
