Driver,Stint,Compound,StartLap,EndLap,Laps,Race,Season
ALB,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
ALB,2.0,SOFT,36.0,36.0,1,Qatar,2024
ALB,3.0,SOFT,37.0,37.0,1,Qatar,2024
ALB,4.0,SOFT,38.0,55.0,18,Qatar,2024
ALB,5.0,SOFT,56.0,56.0,1,Qatar,2024
ALO,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
ALO,2.0,HARD,36.0,36.0,1,Qatar,2024
ALO,3.0,MEDIUM,37.0,37.0,1,Qatar,2024
ALO,4.0,MEDIUM,38.0,57.0,20,Qatar,2024
BOT,1.0,MEDIUM,1.0,24.0,24,Qatar,2024
BOT,2.0,HARD,25.0,35.0,11,Qatar,2024
BOT,3.0,MEDIUM,36.0,36.0,1,Qatar,2024
BOT,4.0,MEDIUM,37.0,57.0,21,Qatar,2024
COL,1.0,MEDIUM,1.0,1.0,1,Qatar,2024
GAS,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
GAS,2.0,HARD,36.0,36.0,1,Qatar,2024
GAS,3.0,HARD,37.0,37.0,1,Qatar,2024
GAS,4.0,HARD,38.0,57.0,20,Qatar,2024
HAM,1.0,MEDIUM,1.0,34.0,34,Qatar,2024
HAM,2.0,HARD,35.0,35.0,1,Qatar,2024
HAM,3.0,HARD,36.0,36.0,1,Qatar,2024
HAM,4.0,HARD,37.0,47.0,11,Qatar,2024
HAM,5.0,HARD,48.0,57.0,10,Qatar,2024
HUL,1.0,HARD,1.0,1.0,1,Qatar,2024
HUL,2.0,HARD,2.0,31.0,30,Qatar,2024
HUL,3.0,MEDIUM,32.0,36.0,5,Qatar,2024
HUL,4.0,MEDIUM,37.0,37.0,1,Qatar,2024
HUL,5.0,MEDIUM,38.0,40.0,3,Qatar,2024
LAW,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
LAW,2.0,HARD,36.0,36.0,1,Qatar,2024
LAW,3.0,HARD,37.0,37.0,1,Qatar,2024
LAW,4.0,HARD,38.0,40.0,3,Qatar,2024
LAW,5.0,SOFT,41.0,57.0,17,Qatar,2024
LEC,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
LEC,2.0,HARD,36.0,36.0,1,Qatar,2024
LEC,3.0,HARD,37.0,37.0,1,Qatar,2024
LEC,4.0,HARD,38.0,57.0,20,Qatar,2024
MAG,1.0,MEDIUM,1.0,27.0,27,Qatar,2024
MAG,2.0,HARD,28.0,36.0,9,Qatar,2024
MAG,3.0,HARD,37.0,37.0,1,Qatar,2024
MAG,4.0,HARD,38.0,57.0,20,Qatar,2024
NOR,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
NOR,2.0,HARD,36.0,36.0,1,Qatar,2024
NOR,3.0,HARD,37.0,37.0,1,Qatar,2024
NOR,4.0,HARD,38.0,45.0,8,Qatar,2024
NOR,5.0,HARD,46.0,57.0,12,Qatar,2024
OCO,1.0,MEDIUM,1.0,1.0,1,Qatar,2024
PER,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
PER,2.0,HARD,36.0,36.0,1,Qatar,2024
PER,3.0,HARD,37.0,37.0,1,Qatar,2024
PER,4.0,HARD,38.0,39.0,2,Qatar,2024
PIA,1.0,MEDIUM,1.0,34.0,34,Qatar,2024
PIA,2.0,HARD,35.0,36.0,2,Qatar,2024
PIA,3.0,HARD,37.0,37.0,1,Qatar,2024
PIA,4.0,HARD,38.0,57.0,20,Qatar,2024
RUS,1.0,MEDIUM,1.0,23.0,23,Qatar,2024
RUS,2.0,HARD,24.0,35.0,12,Qatar,2024
RUS,3.0,HARD,36.0,36.0,1,Qatar,2024
RUS,4.0,HARD,37.0,37.0,1,Qatar,2024
RUS,5.0,HARD,38.0,57.0,20,Qatar,2024
SAI,1.0,MEDIUM,1.0,34.0,34,Qatar,2024
SAI,2.0,HARD,35.0,36.0,2,Qatar,2024
SAI,3.0,HARD,37.0,37.0,1,Qatar,2024
SAI,4.0,HARD,38.0,57.0,20,Qatar,2024
STR,1.0,MEDIUM,1.0,1.0,1,Qatar,2024
STR,2.0,HARD,2.0,7.0,6,Qatar,2024
STR,3.0,HARD,8.0,8.0,1,Qatar,2024
TSU,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
TSU,2.0,HARD,36.0,36.0,1,Qatar,2024
TSU,3.0,HARD,37.0,37.0,1,Qatar,2024
TSU,4.0,HARD,38.0,40.0,3,Qatar,2024
TSU,5.0,SOFT,41.0,57.0,17,Qatar,2024
VER,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
VER,2.0,HARD,36.0,36.0,1,Qatar,2024
VER,3.0,HARD,37.0,37.0,1,Qatar,2024
VER,4.0,HARD,38.0,57.0,20,Qatar,2024
ZHO,1.0,MEDIUM,1.0,35.0,35,Qatar,2024
ZHO,2.0,HARD,36.0,36.0,1,Qatar,2024
ZHO,3.0,HARD,37.0,37.0,1,Qatar,2024
ZHO,4.0,HARD,38.0,57.0,20,Qatar,2024
