1,0,TRACK,NAME,Abu Dhabi
1,0,TRACK,WEATHER,0.0
1,0,ALB,COMPOUND,Medium
1,0,ALO,COMPOUND,Medium
1,0,BOT,COMPOUND,Medium
1,0,COL,COMPOUND,Medium
1,0,DOO,COMPOUND,Medium
1,0,GAS,COMPOUND,Medium
1,0,HAM,COMPOUND,Hard
1,0,HUL,COMPOUND,Medium
1,0,LAW,COMPOUND,Medium
1,0,LEC,COMPOUND,Medium
1,0,MAG,COMPOUND,Medium
1,0,NOR,COMPOUND,Medium
1,0,PER,COMPOUND,Medium
1,0,PIA,COMPOUND,Medium
1,0,RUS,COMPOUND,Medium
1,0,SAI,COMPOUND,Medium
1,0,STR,COMPOUND,Medium
1,0,TSU,COMPOUND,Medium
1,0,VER,COMPOUND,Medium
1,0,ZHO,COMPOUND,Medium
1,1,NOR,POS,1
1,1,SAI,POS,2
1,1,GAS,POS,3
1,1,RUS,POS,4
1,1,HUL,POS,5
1,1,ALO,POS,6
1,1,MAG,POS,7
1,1,LEC,POS,8
1,1,STR,POS,9
1,1,LAW,POS,10
1,1,VER,POS,11
1,1,HAM,POS,12
1,1,BOT,POS,13
1,1,ZHO,POS,14
1,1,ALB,POS,15
1,1,DOO,POS,16
1,1,TSU,POS,17
1,1,COL,POS,18
1,1,PIA,POS,19
BATCH,1,1,NOR:91.142,SAI:92.999,GAS:93.984,RUS:94.679,HUL:95.498,ALO:96.166,MAG:96.949,LEC:97.644,STR:98.324,LAW:99.017,VER:99.51,HAM:99.884,BOT:100.183,ZHO:100.718,ALB:101.19,DOO:101.564,TSU:102.007,COL:102.506,PIA:103.757
1,2,NOR,POS,1
1,2,SAI,POS,2
1,2,GAS,POS,3
1,2,RUS,POS,4
1,2,HUL,POS,5
1,2,ALO,POS,6
1,2,MAG,POS,7
1,2,LEC,POS,8
1,2,STR,POS,9
1,2,LAW,POS,10
1,2,VER,POS,11
1,2,HAM,POS,12
1,2,BOT,POS,13
1,2,ZHO,POS,14
1,2,ALB,POS,15
1,2,DOO,POS,16
1,2,TSU,POS,17
1,2,COL,POS,18
1,2,PIA,POS,19
BATCH,1,2,NOR:108.349,SAI:109.77,GAS:109.76,RUS:109.838,HUL:109.887,ALO:110.156,MAG:110.197,LEC:113.013,STR:113.356,LAW:114.148,VER:114.938,HAM:116.731,BOT:117.544,ZHO:119.827,ALB:120.191,DOO:120.814,TSU:121.592,COL:122.028,PIA:121.916
1,3,COL,PIT,0.0
1,3,NOR,POS,1
1,3,SAI,POS,2
1,3,GAS,POS,3
1,3,RUS,POS,4
1,3,HUL,POS,5
1,3,ALO,POS,6
1,3,MAG,POS,7
1,3,LEC,POS,8
1,3,STR,POS,9
1,3,VER,POS,10
1,3,VER,OVERTAKE,1
1,3,LAW,POS,11
1,3,HAM,POS,12
1,3,BOT,POS,13
1,3,ZHO,POS,14
1,3,ALB,POS,15
1,3,TSU,POS,16
1,3,TSU,OVERTAKE,1
1,3,DOO,POS,17
1,3,PIA,POS,18
1,3,PIA,OVERTAKE,1
1,3,COL,POS,19
BATCH,1,3,NOR:103.313,SAI:102.795,GAS:102.837,RUS:102.811,HUL:102.689,ALO:102.24,MAG:102.283,LEC:99.656,STR:99.525,VER:98.051,LAW:100.324,HAM:97.736,BOT:98.101,ZHO:95.927,ALB:95.776,TSU:94.821,DOO:96.802,PIA:94.86,COL:130.71
1,4,COL,COMPOUND,Hard
1,4,PIA,PIT,0.0
1,4,NOR,POS,1
1,4,SAI,POS,2
1,4,GAS,POS,3
1,4,RUS,POS,4
1,4,HUL,POS,5
1,4,ALO,POS,6
1,4,MAG,POS,7
1,4,LEC,POS,8
1,4,STR,POS,9
1,4,VER,POS,10
1,4,LAW,POS,11
1,4,HAM,POS,12
1,4,BOT,POS,13
1,4,ZHO,POS,14
1,4,ALB,POS,15
1,4,TSU,POS,16
1,4,DOO,POS,17
1,4,PIA,POS,18
1,4,COL,POS,19
BATCH,1,4,NOR:89.01,SAI:88.995,GAS:89.406,RUS:89.488,HUL:89.348,ALO:89.434,MAG:89.202,LEC:89.273,STR:89.685,VER:89.504,LAW:89.738,HAM:89.666,BOT:89.944,ZHO:89.966,ALB:90.06,TSU:90.115,DOO:90.198,PIA:92.201,COL:115.146
1,5,PIA,COMPOUND,Hard
1,5,NOR,POS,1
1,5,SAI,POS,2
1,5,GAS,POS,3
1,5,RUS,POS,4
1,5,HUL,POS,5
1,5,ALO,POS,6
1,5,MAG,POS,7
1,5,LEC,POS,8
1,5,STR,POS,9
1,5,VER,POS,10
1,5,LAW,POS,11
1,5,HAM,POS,12
1,5,BOT,POS,13
1,5,ZHO,POS,14
1,5,ALB,POS,15
1,5,TSU,POS,16
1,5,DOO,POS,17
1,5,PIA,POS,18
1,5,COL,POS,19
BATCH,1,5,NOR:89.104,SAI:89.25,GAS:89.611,RUS:89.796,HUL:89.968,ALO:90.084,MAG:90.04,LEC:89.753,STR:90.05,VER:89.813,LAW:89.869,HAM:89.733,BOT:90.474,ZHO:90.462,ALB:90.369,TSU:90.343,DOO:90.457,PIA:110.887,COL:89.411
1,6,BOT,PIT,0.0
1,6,NOR,POS,1
1,6,SAI,POS,2
1,6,GAS,POS,3
1,6,RUS,POS,4
1,6,HUL,POS,5
1,6,ALO,POS,6
1,6,MAG,POS,7
1,6,LEC,POS,8
1,6,VER,POS,9
1,6,VER,OVERTAKE,1
1,6,STR,POS,10
1,6,LAW,POS,11
